Player,Team,POS,PASS_ATT,PASS_CMP,PASS_YD,PASS_TD,INTS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,REC_ATT,FL,FPTS
Josh Allen,BUF,QB,607,388.8,"4,372.70",34.4,14.1,120.3,698.1,6.8,0,0,0,0,3.5,402.2
Patrick Mahomes II,KC,QB,631.3,415.9,"4,803.10",35.9,12,66.9,371.6,3,0,0,0,0,2.8,372.9
Justin Herbert,LAC,QB,624.9,414.9,"4,678.30",33.5,13.5,64.2,299.1,3.2,0,0,0,0,1.4,354.1
Lamar Jackson,BAL,QB,519.8,335.9,"3,705.00",24.5,13.7,160.3,961.9,4.5,0,0,0,0,3.5,348.6
Jalen Hurts,PHI,QB,495.4,305.7,"3,632.50",24.5,13,142.9,759.8,7.5,0,0,0,0,2.9,345.4
Kyler Murray,ARI,QB,567.1,381.2,"4,209.40",27,12.6,108.6,546.3,5.2,0,0,0,0,2.3,344.9
Tom Brady,TB,QB,652.9,433.6,"4,850.20",36.7,12,27.2,45.5,1.6,0,0,0,0,2.4,338.2
Dak Prescott,DAL,QB,591.2,396.4,"4,504.80",33,11.9,57,233.7,2.4,0,0,0,0,4.1,330.3
Matthew Stafford,LAR,QB,588.5,393.7,"4,633.90",33.9,14.1,33.4,105.3,1.4,0,0,0,0,2.4,321
Aaron Rodgers,GB,QB,559.3,375.9,"4,335.00",33.1,7.3,38.4,136.4,1.8,0,0,0,0,1.6,319.8
Joe Burrow,CIN,QB,566.1,383.2,"4,470.40",30.1,12.9,45.5,192.3,2.2,0,0,0,0,1.8,315.6
Trey Lance,SF,QB,476.8,296.8,"3,603.10",23.9,13.4,124.2,626.1,4.8,0,0,0,0,2.6,312.7
Russell Wilson,DEN,QB,545.9,359.5,"4,103.90",28.8,9.5,61.9,276.3,2.1,0,0,0,0,2.3,305.7
Kirk Cousins,MIN,QB,577.3,380,"4,343.00",31.5,11.7,28.5,107.3,1.1,0,0,0,0,2.9,299.4
Derek Carr,LV,QB,597.3,400.1,"4,541.10",28.3,12.8,38.8,134.7,1.2,0,0,0,0,3.6,295.8
Tua Tagovailoa,MIA,QB,575.9,379.2,"3,991.20",25,14.2,55.8,217.5,2.8,0,0,0,0,2.4,279.2
Ryan Tannehill,TEN,QB,519.1,343.1,"3,745.20",24.5,13,57,261.9,3.8,0,0,0,0,2.6,278.6
Trevor Lawrence,JAC,QB,584.9,369.9,"3,944.50",22.4,13.9,70.7,341.4,2.3,0,0,0,0,3,275.4
Justin Fields,CHI,QB,505.8,310.5,"3,480.40",18.7,15,109.3,609.5,3.6,0,0,0,0,5,271.7
Matt Ryan,IND,QB,538,352.2,"3,919.90",25.7,11.3,34.1,126.2,1.4,0,0,0,0,3.6,262.4
Daniel Jones,NYG,QB,535.7,338,"3,609.10",20.2,14.6,82.3,434.5,2.8,0,0,0,0,4.7,261.2
Jameis Winston,NO,QB,469.2,294.3,"3,458.60",23.8,12.1,54,279.6,1.9,0,0,0,0,2.8,255.1
Mac Jones,NE,QB,535.8,352.9,"3,865.10",24.2,14.4,42,166.2,0.9,0,0,0,0,2.8,253.4
Carson Wentz,WAS,QB,537.9,342.2,"3,679.00",22.3,11.7,58.5,244.6,1.8,0,0,0,0,3.9,252.2
Jared Goff,DET,QB,560.8,366,"3,879.00",24.4,12.4,31.1,82.6,1,0,0,0,0,3.7,246.9
Zach Wilson,NYJ,QB,537.3,324.8,"3,378.10",20,13.2,40.3,220.6,2.5,0,0,0,0,1.8,235.3
Baker Mayfield,CAR,QB,551.1,342.1,"3,680.00",20.4,14.6,43.6,158,1.3,0,0,0,0,2.5,232.8
Davis Mills,HOU,QB,540.5,351.3,"3,760.80",20.5,14.3,34.5,119.9,1,0,0,0,0,1.9,231.9
Marcus Mariota,ATL,QB,423.5,266.6,"2,928.20",15.5,11.1,55.2,340.3,2.5,0,0,0,0,1.2,214.6
Mitch Trubisky,PIT,QB,428,272.1,"2,675.70",15.6,10.9,41.5,209,1.7,0,0,0,0,1.3,187.3
Geno Smith,SEA,QB,352.8,225.6,"2,760.40",16,10.3,29.2,137.2,1.1,0,0,0,0,2.1,180.2
Jacoby Brissett,CLE,QB,328.2,205.8,"2,303.20",13.6,8,32.4,128.5,1.4,0,0,0,0,2.5,154.8
Deshaun Watson,CLE,QB,192.9,130.3,"1,558.90",9.7,4.2,35.8,191.3,1.8,0,0,0,0,1,124.6
Kenny Pickett,PIT,QB,191.4,117.8,"1,396.20",8,5.9,18.2,83.3,0.7,0,0,0,0,1,92.2
Desmond Ridder,ATL,QB,172,105.6,"1,190.00",6.2,4.9,22.7,99.8,0.8,0,0,0,0,0.8,80.6
Drew Lock,SEA,QB,179,111.9,"1,052.50",5.8,4.1,17.4,60.2,0.6,0,0,0,0,1,69.1
Andy Dalton,NO,QB,66.3,41.9,457.3,3.1,1.8,4.9,16.3,0.1,0,0,0,0,0.2,30.5
Joe Flacco,NYJ,QB,53.1,33.1,476.4,2.7,1.3,2.4,9.1,0.1,0,0,0,0,0.6,28.6
Jonathan Taylor,IND,RB,0,0,0,0,0,327,"1,546.10",14.2,40.4,327.7,1.8,0,1.5,280.1
Derrick Henry,TEN,RB,0,0,0,0,0,364.6,"1,608.80",12,24.5,194.4,1.1,0,1,256.8
Christian McCaffrey,CAR,RB,0,0,0,0,0,242.7,"1,079.80",8.1,86.2,736.8,3.9,0,0.5,252.5
Austin Ekeler,LAC,RB,0,0,0,0,0,220.8,996,9.2,72.7,645.3,4.5,0,0.7,244.8
Joe Mixon,CIN,RB,0,0,0,0,0,290.9,"1,232.50",9.4,46.1,342.6,2.4,0,1,226.2
Alvin Kamara,NO,RB,0,0,0,0,0,206.2,968.3,7.7,57.4,518,3.9,0,0.3,217.5
Dalvin Cook,MIN,RB,0,0,0,0,0,268.3,"1,218.40",9.3,44.6,325.1,1.5,0,1.8,215.1
Leonard Fournette,TB,RB,0,0,0,0,0,238,995.7,8.9,59.6,417.2,2.4,0,0.4,208.4
Najee Harris,PIT,RB,0,0,0,0,0,287.4,"1,169.10",7.3,55.5,367.7,1.9,0,0.4,208
James Conner,ARI,RB,0,0,0,0,0,229.4,952.2,10.1,44.9,357.3,2,0,0.8,202.1
Aaron Jones,GB,RB,0,0,0,0,0,190.8,921.5,6.1,62.3,510,3.5,0,0.7,199.3
