Player,Team,POS,PASS_ATT,PASS_CMP,PASS_YD,PASS_TD,INTS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,FPTS
Travis Kelce,KC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.9,1292.5,10.3,0.8,246.7
Mark Andrews,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5,913.0,6.7,0.2,173.8
T.J. Hockenson,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,823.2,6.4,0.6,163.6
Darren Waller,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8,828.6,3.7,0.8,138.9
George Kittle,SF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9,758.7,4.4,0.4,133.6
Kyle Pitts,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,810.8,3.2,0.0,129.8
Dallas Goedert,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,725.7,3.6,0.7,124.5
Pat Freiermuth,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.2,637.2,4.3,0.5,120.5
Evan Engram,JAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4,663.1,3.8,0.6,118.4
David Njoku,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,578.1,4.2,0.4,108.0
Chigoziem Okonkwo,TEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,584.8,3.5,0.0,107.1
Taysom Hill,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,366.7,3.1,1.6,105.7
Dalton Schultz,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8,570.6,3.4,0.6,103.8
Tyler Higbee,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,577.7,2.8,0.0,103.0
Juwan Johnson,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,502.3,4.1,0.0,98.8
Dalton Kincaid,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8,527.1,3.9,0.3,97.9
Greg Dulcich,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,559.4,2.9,0.0,95.3
Irv Smith Jr.,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.1,449.0,3.9,0.0,94.3
Hunter Henry,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,520.2,2.7,0.2,91.0
Sam LaPorta,DET,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,498.3,3.5,0.3,90.5
Cole Kmet,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,498.1,3.3,0.4,89.6
Gerald Everett,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,501.1,3.0,0.8,89.4
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,451.8,3.5,0.5,86.0
Hayden Hurst,CAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,428.2,3.1,0.5,85.0
Luke Musgrave,GB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,443.6,2.4,0.2,81.9
Mike Gesicki,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,470.6,2.3,0.2,81.7
Cade Otton,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,452.7,1.9,0.0,80.6
Zach Ertz,ARI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4,468.0,1.6,0.2,79.1
Jake Ferguson,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,376.1,2.6,0.0,73.2
Noah Fant,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,419.7,1.9,0.2,71.7
Michael Mayer,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,401.6,2.1,0.3,71.1
Logan Thomas,WAS,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,372.0,1.6,0.3,69.2
Jelani Woods,IND,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,385.3,2.1,0.0,66.6
Tyler Conklin,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,362.2,1.6,0.0,66.0
Trey McBride,ARI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,379.2,1.8,0.3,61.3
Adam Trautman,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,314.7,1.2,0.5,51.9
Austin Hooper,LV,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,289.2,0.9,0.0,47.5
Isaiah Likely,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,276.1,1.5,0.0,45.5
