Player,POS,Team,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_1DS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Josh Allen,QB,BUF,566.4,369.5,4059.4,28.9,14.3,113.2,577.5,30.4,9.1,0.0,0.0,0.0,4.0,368.0
Jalen Hurts,QB,PHI,525.6,341.8,3858.8,26.0,13.2,140.1,604.0,31.8,11.5,0.0,0.0,0.0,4.2,366.1
Lamar Jackson,QB,BAL,471.1,309.2,3626.2,25.7,11.0,146.7,866.8,45.6,5.6,0.0,0.0,0.0,5.1,347.1
Patrick Mahomes II,QB,KC,586.8,393.6,4371.9,32.8,10.4,73.1,386.4,20.3,1.7,0.0,0.0,0.0,2.7,339.1
Anthony Richardson,QB,IND,515.3,327.5,3571.0,20.9,11.1,134.8,626.0,32.9,7.4,0.0,0.0,0.0,6.0,310.8
Dak Prescott,QB,DAL,576.1,386.4,4222.5,31.3,12.6,50.9,219.8,11.6,2.0,0.0,0.0,0.0,2.7,310.4
Joe Burrow,QB,CIN,580.3,388.9,4245.8,30.6,11.8,54.0,192.7,10.1,2.2,0.0,0.0,0.0,2.6,307.9
C.J. Stroud,QB,HOU,555.6,361.9,4352.8,29.0,9.6,43.0,178.3,9.4,2.6,0.0,0.0,0.0,4.0,305.8
Kyler Murray,QB,ARI,536.0,358.6,3666.1,22.0,12.5,98.1,532.2,28.0,5.6,0.0,0.0,0.0,2.3,304.3
Jordan Love,QB,GB,546.0,355.5,4031.4,30.6,11.4,44.0,182.5,9.6,2.4,0.0,0.0,0.0,3.1,298.7
Jayden Daniels,QB,WAS,548.1,342.2,3651.9,20.7,14.0,117.8,631.4,33.2,4.9,0.0,0.0,0.0,5.1,297.4
Brock Purdy,QB,SF,494.9,333.3,4097.6,29.4,10.3,42.7,157.2,8.3,1.9,0.0,0.0,0.0,2.5,293.2
Caleb Williams,QB,CHI,526.0,342.6,3729.7,26.1,12.9,81.7,392.3,20.6,3.8,0.0,0.0,0.0,5.0,292.6
Trevor Lawrence,QB,JAC,564.6,374.1,3983.4,24.9,12.1,65.5,299.0,15.7,3.8,0.0,0.0,0.0,5.3,289.0
Deshaun Watson,QB,CLE,549.6,336.2,3899.9,23.8,13.8,77.8,385.5,20.3,2.9,0.0,0.0,0.0,4.2,285.1
Justin Herbert,QB,LAC,548.8,357.7,3870.2,24.5,10.1,68.1,286.1,15.1,2.8,0.0,0.0,0.0,2.5,283.3
Jared Goff,QB,DET,565.5,382.3,4203.2,28.1,10.3,29.4,58.8,3.1,1.2,0.0,0.0,0.0,3.2,277.0
