RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
1,1,Justin Jefferson,MIN,WR1,13,3 out of 5 stars,0
2,1,Christian McCaffrey,SF,RB1,9,4 out of 5 stars,0
3,1,Ja'Marr Chase,CIN,WR2,7,4 out of 5 stars,0
4,1,Travis Kelce,KC,TE1,10,4 out of 5 stars,1
5,1,Nick Chubb,CLE,RB2,5,3 out of 5 stars,6
6,2,Tyreek Hill,MIA,WR3,10,3 out of 5 stars,0
7,2,Austin Ekeler,LAC,RB3,5,3 out of 5 stars,-3
8,2,Cooper Kupp,LAR,WR4,10,3 out of 5 stars,-1
9,2,Derrick Henry,TEN,RB4,7,4 out of 5 stars,10
10,2,Bijan Robinson,ATL,RB5,11,4 out of 5 stars,-1
11,3,Stefon Diggs,BUF,WR5,13,2 out of 5 stars,-1
12,3,A.J. Brown,PHI,WR6,10,3 out of 5 stars,1
13,3,CeeDee Lamb,DAL,WR7,7,2 out of 5 stars,-1
14,3,Tony Pollard,DAL,RB6,7,3 out of 5 stars,3
15,3,Saquon Barkley,NYG,RB7,13,2 out of 5 stars,-7
16,3,Davante Adams,LV,WR8,13,2 out of 5 stars,-1
17,3,Jonathan Taylor,IND,RB8,11,3 out of 5 stars,4
18,3,Amon-Ra St. Brown,DET,WR9,9,3 out of 5 stars,-2
19,3,Garrett Wilson,NYJ,WR10,7,3 out of 5 stars,1
20,3,Josh Jacobs,LV,RB9,13,3 out of 5 stars,3
21,3,Jaylen Waddle,MIA,WR11,10,3 out of 5 stars,3
22,4,Patrick Mahomes II,KC,QB1,10,3 out of 5 stars,-8
23,4,Chris Olave,NO,WR12,11,4 out of 5 stars,2
24,4,Jalen Hurts,PHI,QB2,10,3 out of 5 stars,-2
25,4,Josh Allen,BUF,QB3,13,3 out of 5 stars,-7
26,4,Tee Higgins,CIN,WR13,7,4 out of 5 stars,5
27,4,Najee Harris,PIT,RB10,6,3 out of 5 stars,-1
28,4,Joe Mixon,CIN,RB11,7,3 out of 5 stars,8
29,4,Rhamondre Stevenson,NE,RB12,11,2 out of 5 stars,-1
30,4,Travis Etienne Jr.,JAC,RB13,9,2 out of 5 stars,0
31,4,DeVonta Smith,PHI,WR14,10,3 out of 5 stars,-4
32,4,Amari Cooper,CLE,WR15,5,3 out of 5 stars,11
33,5,Deebo Samuel,SF,WR16,9,3 out of 5 stars,5
34,5,Mark Andrews,BAL,TE2,13,4 out of 5 stars,-5
35,5,DK Metcalf,SEA,WR17,5,3 out of 5 stars,0
36,5,Lamar Jackson,BAL,QB4,13,3 out of 5 stars,-3
37,5,Jahmyr Gibbs,DET,RB14,9,5 out of 5 stars,-3
38,5,Calvin Ridley,JAC,WR18,9,4 out of 5 stars,-1
39,5,Kenneth Walker III,SEA,RB15,5,2 out of 5 stars,0
40,5,Aaron Jones,GB,RB16,6,4 out of 5 stars,2
41,5,Joe Burrow,CIN,QB5,7,3 out of 5 stars,-9
42,5,DJ Moore,CHI,WR19,13,3 out of 5 stars,10
43,5,Breece Hall,NYJ,RB17,7,3 out of 5 stars,-3
44,5,Justin Fields,CHI,QB6,13,5 out of 5 stars,2
45,5,Christian Watson,GB,WR20,6,3 out of 5 stars,12
46,5,Miles Sanders,CAR,RB18,7,4 out of 5 stars,4
47,5,Jerry Jeudy,DEN,WR21,9,2 out of 5 stars,7
48,5,Justin Herbert,LAC,QB7,5,3 out of 5 stars,-7
49,5,Keenan Allen,LAC,WR22,5,3 out of 5 stars,-4
50,5,J.K. Dobbins,BAL,RB19,13,3 out of 5 stars,3
51,6,Cam Akers,LAR,RB20,10,3 out of 5 stars,7
52,6,Terry McLaurin,WAS,WR23,14,3 out of 5 stars,-4
53,6,Dameon Pierce,HOU,RB21,7,3 out of 5 stars,-9
54,6,Alexander Mattison,MIN,RB22,13,5 out of 5 stars,2
55,6,DeAndre Hopkins,TEN,WR24,7,3 out of 5 stars,-6
56,6,Brandon Aiyuk,SF,WR25,9,3 out of 5 stars,15
57,6,Drake London,ATL,WR26,11,4 out of 5 stars,4
58,6,Mike Williams,LAC,WR27,5,3 out of 5 stars,6
59,6,James Conner,ARI,RB23,14,3 out of 5 stars,7
60,6,Trevor Lawrence,JAC,QB8,9,3 out of 5 stars,-5
61,6,T.J. Hockenson,MIN,TE3,13,3 out of 5 stars,-14
62,6,Tyler Lockett,SEA,WR28,5,3 out of 5 stars,11
