Rank,Player,Team,Bye,POS,Yahoo,Sleeper,RTSports,AVG
1,Justin Jefferson,MIN,13,WR1,1,1,1,1
2,Christian McCaffrey,SF,9,RB1,2,2,2,2
3,Ja'Marr Chase,CIN,7,WR2,3,3,3,3
4,Austin Ekeler,LAC,5,RB2,4,4,4,4
5,Travis Kelce,KC,10,TE1,5,5,6,5.3
6,Tyreek Hill,MIA,10,WR3,7,6,5,6
7,Cooper Kupp,LAR,10,WR4,6,7,8,7
8,Saquon Barkley,NYG,13,RB3,10,9,7,8.7
9,Bijan Robinson,ATL,11,RB4,9,8,9,8.7
10,Nick Chubb,CLE,5,RB5,8,11,10,9.7
11,Stefon Diggs,BUF,13,WR5,11,10,12,11
12,CeeDee Lamb,DAL,7,WR6,16,13,11,13.3
13,A.J. Brown,PHI,10,WR7,17,12,14,14.3
14,Patrick Mahomes II,KC,10,QB1,14,14,15,14.3
15,Tony Pollard,DAL,7,RB6,15,21,13,16.3
16,Derrick Henry,TEN,7,RB7,13,17,21,17
17,Jonathan Taylor,IND,11,RB8,12,15,25,17.3
18,Davante Adams,LV,13,WR8,18,16,19,17.7
19,Amon-Ra St. Brown,DET,9,WR9,20,18,17,18.3
20,Josh Allen,BUF,13,QB2,23,20,16,19.7
21,Garrett Wilson,NYJ,7,WR10,21,22,18,20.3
22,Josh Jacobs,LV,13,RB9,19,19,28,22
23,Jalen Hurts,PHI,10,QB3,22,24,20,22
24,Jaylen Waddle,MIA,10,WR11,24,23,26,24.3
25,Najee Harris,PIT,6,RB10,25,27,23,25
26,Chris Olave,NO,11,WR12,29,26,24,26.3
27,DeVonta Smith,PHI,10,WR13,28,30,22,26.7
28,Rhamondre Stevenson,NE,11,RB11,27,28,27,27.3
29,Mark Andrews,BAL,13,TE2,31,25,30,28.7
30,Travis Etienne Jr.,JAC,9,RB12,26,32,29,29
31,Tee Higgins,CIN,7,WR14,32,29,37,32.7
32,Lamar Jackson,BAL,13,QB4,37,34,32,34.3
33,Jahmyr Gibbs,DET,9,RB13,36,35,33,34.7
34,DK Metcalf,SEA,5,WR15,35,31,40,35.3
35,Joe Burrow,CIN,7,QB5,40,36,31,35.7
36,Joe Mixon,CIN,7,RB14,34,37,36,35.7
37,Breece Hall,NYJ,7,RB15,30,33,50,37.7
38,Calvin Ridley,JAC,9,WR16,43,40,34,39
39,Deebo Samuel,SF,9,WR17,39,38,41,39.3
40,Aaron Jones,GB,6,RB16,33,42,44,39.7
41,Kenneth Walker III,SEA,5,RB17,41,39,39,39.7
42,Amari Cooper,CLE,5,WR18,42,43,42,42.3
43,T.J. Hockenson,MIN,13,TE3,38,46,46,43.3
44,Dameon Pierce,HOU,7,RB18,46,50,35,43.7
45,Justin Herbert,LAC,5,QB6,51,45,38,44.7
46,Keenan Allen,LAC,5,WR19,47,41,47,45
47,Justin Fields,CHI,13,QB7,48,44,43,45
48,Miles Sanders,CAR,7,RB19,49,51,49,49.7
49,George Kittle,SF,9,TE4,44,47,59,50
50,Terry McLaurin,WAS,14,WR20,58,49,45,50.7
51,DeAndre Hopkins,TEN,7,WR21,57,48,48,51
52,J.K. Dobbins,BAL,13,RB20,45,53,57,51.7
53,DJ Moore,CHI,13,WR22,54,52,55,53.7
54,Trevor Lawrence,JAC,9,QB8,56,57,52,55
55,Cam Akers,LAR,10,RB21,50,56,63,56.3
56,Alexander Mattison,MIN,13,RB22,60,58,53,57
57,Jerry Jeudy,DEN,9,WR23,64,54,56,58
58,James Conner,ARI,14,RB23,53,61,66,60
59,Drake London,ATL,11,WR24,62,55,70,62.3
60,Darren Waller,NYG,13,TE5,61,66,60,62.3
61,Dallas Goedert,PHI,10,TE6,52,65,73,63.3
62,Kyle Pitts,ATL,11,TE7,59,60,72,63.7
63,Christian Watson,GB,6,WR25,77,59,58,64.7
64,Javonte Williams,DEN,9,RB24,75,71,51,65.7
65,Tyler Lockett,SEA,5,WR26,55,70,75,66.7
66,Chris Godwin,TB,5,WR27,68,63,69,66.7
67,Alvin Kamara,NO,11,RB25,70,64,67,67
68,D'Andre Swift,PHI,10,RB26,79,62,62,67.7
69,Brandon Aiyuk,SF,9,WR28,65,67,71,67.7
70,Dalvin Cook,NYJ,7,RB27,67,69,68,68
71,Rachaad White,TB,5,RB28,81,74,54,69.7
72,Mike Williams,LAC,5,WR29,80,68,61,69.7
73,Isiah Pacheco,KC,10,RB29,66,77,74,72.3
74,Christian Kirk,JAC,9,WR30,86,72,65,74.3
75,David Montgomery,DET,9,RB30,69,78,79,75.3
76,James Cook,BUF,13,RB31,83,82,64,76.3
77,Michael Pittman Jr.,IND,11,WR31,82,75,77,78
78,Dak Prescott,DAL,7,QB9,71,89,81,80.3
79,Mike Evans,TB,5,WR32,84,76,82,80.7
80,Evan Engram,JAC,9,TE8,72,83,90,81.7
81,Diontae Johnson,PIT,6,WR33,88,79,78,81.7
82,Deshaun Watson,CLE,5,QB10,85,85,80,83.3
83,George Pickens,PIT,6,WR34,95,80,76,83.7
84,Marquise Brown,ARI,14,WR35,99,73,85,85.7
85,Pat Freiermuth,PIT,6,TE9,74,87,96,85.7
86,AJ Dillon,GB,6,RB32,97,88,83,89.3
87,Tua Tagovailoa,MIA,10,QB11,89,93,92,91.3
88,Jaxon Smith-Njigba,SEA,5,WR36,108,81,89,92.7
89,David Njoku,CLE,5,TE10,93,91,100,94.7
90,Jordan Addison,MIN,13,WR37,110,84,91,95
91,Jahan Dotson,WAS,14,WR38,106,86,93,95
92,Brian Robinson Jr.,WAS,14,RB33,96,102,87,95
93,Antonio Gibson,WAS,14,RB34,114,90,84,96
94,Khalil Herbert,CHI,13,RB35,100,104,86,96.7
95,Gabe Davis,BUF,13,WR39,102,97,102,100.3
96,Rashaad Penny,PHI,10,RB36,98,100,104,100.7
97,Jamaal Williams,NO,11,RB37,104,103,97,101.3
98,Brandin Cooks,DAL,7,WR40,111,96,98,101.7
99,Aaron Rodgers,NYJ,7,QB12,101,107,105,104.3
100,Michael Thomas,NO,11,WR41,112,99,107,106
101,Kirk Cousins,MIN,13,QB13,113,109,99,107
102,Treylon Burks,TEN,7,WR42,121,92,109,107.3
103,Zach Charbonnet,SEA,5,RB38,131,98,103,110.7
104,Samaje Perine,DEN,9,RB39,120,108,106,111.3
105,Daniel Jones,NYG,13,QB14,105,145,88,112.7
106,San Francisco 49ers,DST,9,DST1,63,132,147,114
107,Odell Beckham Jr.,BAL,13,WR43,115,115,112,114
108,Kadarius Toney,KC,10,WR44,126,94,124,114.7
109,Anthony Richardson,IND,11,QB15,128,105,111,114.7
110,Damien Harris,BUF,13,RB40,107,119,121,115.7
111,Geno Smith,SEA,5,QB16,117,122,108,115.7
112,Elijah Moore,CLE,5,WR45,125,111,113,116.3
113,Justin Tucker,BAL,13,K1,73,131,152,118.7
114,Courtland Sutton,DEN,9,WR46,156,110,95,120.3
115,Philadelphia Eagles,DST,10,DST2,78,133,153,121.3
116,Zay Flowers,BAL,13,WR47,152,101,117,123.3
117,Dallas Cowboys,DST,7,DST3,76,134,161,123.7
118,Elijah Mitchell,SF,9,RB41,137,120,118,125
119,De'Von Achane,MIA,10,RB42,171,112,94,125.7
120,JuJu Smith-Schuster,NE,11,WR48,161,106,110,125.7
121,Jerick McKinnon,KC,10,RB43,144,121,119,128
122,Ezekiel Elliott,NE,11,RB44,130,128,131,129.7
123,Quentin Johnston,LAC,5,WR49,173,95,122,130
124,Cole Kmet,CHI,13,TE11,135,123,137,131.7
125,Chigoziem Okonkwo,TEN,7,TE12,139,124,132,131.7
126,Dalton Schultz,HOU,7,TE13,160,113,125,132.7
127,Jared Goff,DET,9,QB17,151,147,101,133
128,Skyy Moore,KC,10,WR50,158,125,116,133
129,Buffalo Bills,DST,13,DST4,87,135,178,133.3
130,Dalton Kincaid,BUF,13,TE14,172,114,114,133.3
131,Daniel Carlson,LV,13,K2,94,139,173,135.3
132,Allen Lazard,NYJ,7,WR51,159,118,130,135.7
133,Evan McPherson,CIN,7,K3,92,136,192,140
134,Jameson Williams,DET,9,WR52,166,117,140,141
135,Raheem Mostert,MIA,10,RB45,164,130,129,141
136,New England Patriots,DST,11,DST5,109,144,172,141.7
137,Harrison Butker,KC,10,K4,91,137,199,142.3
138,Rashod Bateman,BAL,13,WR53,157,116,155,142.7
139,New York Jets,DST,7,DST6,90,138,202,143.3
140,Tyler Bass,BUF,13,K5,103,141,186,143.3
141,Greg Dulcich,DEN,9,TE15,122,152,156,143.3
142,Adam Thielen,CAR,7,WR54,180,126,128,144.7
143,Tyler Allgeier,ATL,11,RB46,169,127,139,145
144,Baltimore Ravens,DST,13,DST7,118,140,189,149
145,Devin Singletary,HOU,7,RB47,153,157,145,151.7
146,Kenneth Gainwell,PHI,10,RB48,132,192,133,152.3
147,Romeo Doubs,GB,6,WR55,182,156,120,152.7
148,Tank Bigsby,JAC,9,RB49,196,148,115,153
149,D'Onta Foreman,CHI,13,RB50,183,155,123,153.7
150,Russell Wilson,DEN,9,QB18,193,154,127,158
151,Tyler Higbee,LAR,10,TE16,185,151,138,158
152,Kenny Pickett,PIT,6,QB19,129,204,142,158.3
153,Tyler Boyd,CIN,7,WR56,187,129,163,159.7
154,Jaylen Warren,PIT,6,RB51,195,159,126,160
155,Younghoe Koo,ATL,11,K6,119,142,222,161
156,Bryce Young,CAR,7,QB20,136,167,180,161
157,Jalin Hyatt,NYG,13,WR57,162,171,151,161.3
158,Deuce Vaughn,DAL,7,RB52,138,187,169,164.7
159,Roschon Johnson,CHI,13,RB53,191,160,144,165
160,Jakobi Meyers,LV,13,WR58,205,146,150,167
161,Miami Dolphins,DST,10,DST8,116,143,244,167.7
162,Donovan Peoples-Jones,CLE,5,WR59,155,212,136,167.7
163,Brock Purdy,SF,9,QB21,146,194,164,168
164,Kendre Miller,NO,11,RB54,189,150,167,168.7
165,Sam LaPorta,DET,9,TE17,206,158,143,169
166,Jordan Love,GB,6,QB22,175,177,159,170.3
167,Kareem Hunt,,,RB55,202,176,134,170.7
168,Nico Collins,HOU,7,WR60,197,170,149,172
169,Jeff Wilson Jr.,MIA,10,RB56,188,175,157,173.3
170,Darnell Mooney,CHI,13,WR61,213,153,160,175.3
171,Derek Carr,NO,11,QB23,203,190,135,176
