"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9","RB1","1","1","1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","2","2","2","2.0"
"3","Tyreek Hill","MIA","6","WR2","3","3","3","3.0"
"4","Bijan Robinson","ATL","12","RB2","5","6","5","5.3"
"5","Breece Hall","NYJ","12","RB3","4","9","4","5.7"
"6","Justin Jefferson","MIN","6","WR3","7","4","6","5.7"
"7","Ja'Marr Chase","CIN","12","WR4","6","5","8","6.3"
"8","Amon-Ra St. Brown","DET","5","WR5","8","7","7","7.3"
"9","A.J. Brown","PHI","5","WR6","10","8","10","9.3"
"10","Jonathan Taylor","IND","14","RB4","9","13","11","11.0"
"11","Saquon Barkley","PHI","5","RB5","11","14","9","11.3"
"12","Jahmyr Gibbs","DET","5","RB6","13","10","12","11.7"
"13","Puka Nacua","LAR","6","WR7","14","11","13","12.7"
"14","Garrett Wilson","NYJ","12","WR8","12","12","14","12.7"
"15","Kyren Williams","LAR","6","RB7","16","16","17","16.3"
"16","Marvin Harrison Jr.","ARI","11","WR9","17","15","19","17.0"
"17","Davante Adams","LV","10","WR10","18","18","16","17.3"
"18","Travis Etienne Jr.","JAC","12","RB8","20","19","15","18.0"
"19","Derrick Henry","BAL","14","RB9","15","25","20","20.0"
"20","Josh Allen","BUF","12","QB1","21","20","24","21.7"
"21","Drake London","ATL","12","WR11","31","17","21","23.0"
"22","De'Von Achane","MIA","6","RB10","29","22","18","23.0"
"23","Chris Olave","NO","12","WR12","23","21","27","23.7"
"24","Isiah Pacheco","KC","6","RB11","19","31","23","24.3"
"25","Josh Jacobs","GB","10 ","RB12","26","26","22","24.7"
"26","Sam LaPorta","DET","5","TE1","24","24","28","25.3"
"27","Travis Kelce","KC","6","TE2","22","27","32","27.0"
"28","Deebo Samuel Sr.","SF","9","WR13","30","30","25","28.3"
"29","Nico Collins","HOU","14","WR14","33","28","29","30.0"
"30","Brandon Aiyuk","SF","9","WR15","27","23","42","30.7"
"31","Mike Evans","TB","11","WR16","25","29","40","31.3"
"32","Jalen Hurts","PHI","5","QB2","32","32","33","32.3"
"33","Patrick Mahomes II","KC","6","QB3","28","36","34","32.7"
"34","Rachaad White","TB","11","RB13","35","38","30","34.3"
"35","Jaylen Waddle","MIA","6","WR17","37","33","36","35.3"
"36","Michael Pittman Jr.","IND","14","WR18","43","40","26","36.3"
"37","Stefon Diggs","HOU","14","WR19","45","34","35","38.0"
"38","Lamar Jackson","BAL","14","QB4","34","37","43","38.0"
"39","James Cook","BUF","12","RB14","42","43","31","38.7"
"40","DK Metcalf","SEA","10","WR20","39","41","37","39.0"
"41","Cooper Kupp","LAR","6","WR21","38","42","38","39.3"
"42","DJ Moore","CHI","7","WR22","40","35","44","39.7"
"43","Joe Mixon","HOU","14","RB15","36","47","45","42.7"
"44","C.J. Stroud","HOU","14","QB5","41","44","53","46.0"
