"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.2","400.3","4,572.8","34.0","13.3","110.9","520.3","7.7","5.1","380.2"
"Patrick Mahomes II","KC","629.8","418.2","5,020.5","38.8","8.9","55.3","267.2","2.9","2.5","377.6"
"Kyler Murray","ARI","591.0","391.6","4,217.1","26.7","12.9","126.5","702.1","7.7","3.7","358.9"
"Lamar Jackson","BAL","456.6","292.6","3,336.4","28.3","12.0","159.0","960.6","6.7","4.0","351.1"
"Dak Prescott","DAL","622.8","416.1","4,846.3","31.1","11.1","63.5","296.6","4.0","4.2","341.4"
"Russell Wilson","SEA","575.5","384.0","4,286.6","34.7","12.3","81.8","441.1","2.1","3.5","334.9"
"Aaron Rodgers","GB","572.2","385.9","4,452.9","36.8","7.2","39.9","168.6","1.9","3.1","333.0"
"Justin Herbert","LAC","615.2","399.4","4,574.6","30.5","12.0","61.2","273.0","4.4","2.6","329.2"
"Tom Brady","TB","621.6","404.6","4,699.2","37.2","11.9","24.5","31.8","2.1","2.2","324.1"
"Jalen Hurts","PHI","539.9","329.8","3,731.6","22.4","14.4","133.8","691.3","5.9","4.7","305.3"
"Ryan Tannehill","TEN","527.7","348.7","4,110.4","30.0","10.5","51.8","229.5","3.5","2.9","301.5"
"Joe Burrow","CIN","612.2","399.9","4,313.2","26.5","11.8","54.1","227.4","3.0","4.2","287.4"
"Matthew Stafford","LAR","612.2","405.1","4,564.4","28.5","11.5","31.7","120.6","0.7","3.2","283.5"
"Kirk Cousins","MIN","541.6","364.1","4,273.0","30.1","13.0","35.3","114.2","1.1","4.1","274.9"
"Matt Ryan","ATL","612.0","400.1","4,500.2","26.8","12.7","33.0","117.7","1.4","4.3","273.3"
"Trevor Lawrence","JAC","592.2","380.4","4,173.3","24.4","13.1","68.8","334.1","2.3","6.2","273.1"
"Baker Mayfield","CLE","543.3","346.7","3,992.2","28.1","11.5","44.2","168.4","1.8","3.4","269.6"
"Tua Tagovailoa","MIA","574.2","374.1","3,948.2","25.9","13.5","56.0","211.7","2.8","1.7","268.8"
"Derek Carr","LV","564.1","373.5","4,304.1","26.4","10.9","30.4","106.6","1.8","5.2","266.7"
"Ryan Fitzpatrick","WAS","582.7","386.6","4,140.8","23.7","16.6","50.6","245.6","3.0","2.3","265.2"
"Ben Roethlisberger","PIT","616.9","400.4","4,172.0","29.5","14.0","20.9","45.0","0.5","2.2","260.2"
"Carson Wentz","IND","536.6","336.5","3,701.4","25.0","12.6","58.3","254.4","2.8","5.9","253.2"
"Daniel Jones","NYG","547.4","342.8","3,755.8","22.1","13.6","70.2","402.9","2.6","8.5","250.4"
"Sam Darnold","CAR","556.4","351.0","3,924.4","22.2","14.7","50.3","220.0","3.3","3.9","250.4"
"Zach Wilson","NYJ","554.6","351.0","3,950.0","21.5","15.4","66.9","319.4","2.5","6.5","247.1"
"Jameis Winston","NO","523.5","337.4","3,839.6","26.0","16.7","44.9","191.7","1.2","4.2","241.8"
"Jared Goff","DET","579.6","370.3","4,136.3","22.2","14.9","39.6","89.1","1.7","4.2","234.9"
"Teddy Bridgewater","DEN","474.4","309.9","3,536.8","21.1","13.3","50.0","211.4","2.6","2.3","231.1"
"Trey Lance","SF","403.6","261.4","3,025.7","19.1","10.6","79.5","424.5","3.3","5.0","228.3"
"Justin Fields","CHI","463.8","292.0","3,139.4","19.2","11.6","82.8","415.5","3.0","9.0","221.1"
"Cam Newton","NE","307.5","201.1","2,220.9","13.0","9.8","84.8","361.7","5.7","2.3","186.6"
"Deshaun Watson","HOU","285.9","192.5","2,288.6","13.3","6.7","41.0","192.7","1.9","2.0","158.0"
"Tyrod Taylor","HOU","316.2","196.0","2,231.4","11.7","6.3","32.1","146.5","1.2","1.1","143.2"
"Mac Jones","NE","220.7","138.5","1,559.5","9.1","6.2","18.6","69.0","0.9","1.2","96.2"
"Davis Mills","HOU","191.7","119.4","1,370.1","6.6","5.1","13.0","55.2","0.6","1.4","77.2"
"Jimmy Garoppolo","SF","161.9","110.1","1,285.2","7.6","4.0","13.0","29.6","0.4","1.2","76.8"
"Taysom Hill","NO","63.0","42.4","443.1","2.5","1.1","56.5","305.9","3.7","3.0","72.1"
"Andy Dalton","CHI","135.6","87.2","922.5","5.9","3.5","12.3","41.3","0.3","0.3","58.7"
"Drew Lock","DEN","85.5","51.1","590.8","3.7","2.3","8.7","34.4","0.1","0.6","36.9"
"Jacob Eason","IND","45.7","27.7","312.8","1.6","1.4","2.6","12.6","0.0","0.2","17.2"
"Kyle Trask","TB","34.5","21.3","246.6","1.9","0.7","1.3","5.0","0.0","0.2","16.4"
"Jeff Driskel","HOU","34.0","21.2","244.6","1.2","0.8","3.4","18.1","0.2","0.2","15.3"
"Taylor Heinicke","WAS","36.8","23.4","257.4","1.3","1.4","5.7","22.8","0.1","0.2","15.2"
"Mason Rudolph","PIT","35.5","22.0","242.8","1.4","0.9","2.8","9.4","0.1","0.2","14.6"
"Jacoby Brissett","MIA","32.0","20.0","227.2","1.1","0.5","4.3","14.1","0.2","0.3","14.3"
"Phillip Walker","CAR","39.6","25.1","287.1","1.0","1.0","2.0","6.1","0.1","0.5","13.4"
"James Morgan","NYJ","32.2","19.4","220.9","1.3","1.2","1.5","5.7","0.1","0.2","12.3"
